cells,drugs,labels
416,16,8.0
416,19,1.4658753
416,20,0.2111899
416,21,1.6754462
417,12,3.7100189
418,16,8.0
420,0,0.004307028
420,19,2.27818
421,6,0.0
421,18,8.0
422,8,0.0
423,6,8.0
423,10,0.20048873
423,11,0.0691723
424,6,8.0
425,6,7.079586
425,23,0.9363278
429,13,0.16527049
430,12,0.22173892
431,18,8.0
431,20,0.31153715
434,17,0.6634556
